data,lançamento,valor
2025-07-06,Google YouTubePremium,53.9
2025-07-01,APPLE.COM/BILL,5.9
2025-06-24,TOKIO MARINE*AUTO03D12,234.81
2025-06-21,DESCONTO ANUIDADE 10/12,-28.25
2025-06-21,DESCONTO ANUIDADE 10/12,-56.5
2025-06-21,ANUIDADE DIFERENC 10/12,28.25
2025-06-21,ANUIDADE DIFERENC 10/12,56.5
2025-06-20,PAGAMENTO EFETUADO,-1432.39
2025-06-14,CAOA MOTOR SBC    01/04,367.61
2025-05-22,CASA DO ELETRICISTA,-0.01
2025-05-22,CASA DO ELETRICIST02/02,58.45
2025-05-18,MERCADOLIVRE*LACASAEX,-0.16
2025-05-18,MERCADOLIVRE*LACAS02/09,43.35
2025-05-02,Frigelar    *Frige03/08,257.37
2025-03-27,HTM*ComboXoPoche  04/04,89.7
2024-09-27,OSSEL             10/18,259.18
