data      , lançamento             , valor
2026-03-01, APPLECOMBILL           , 5.9
2026-02-24, TOKIO MARINE*AUTO11D12 , 234.81
2026-02-21, ANUIDADE DIFERENC 06/12, 28.25
2026-02-21, DESCONTO ANUIDADE 06/12, -28.25
2026-02-21, LojasMissouri     01/06, 161.95
2026-02-21, DESCONTO ANUIDADE 06/12, -56.5
2026-02-21, ANUIDADE DIFERENC 06/12, 56.5
2026-02-20, PAGAMENTO EFETUADO     , -1004.93
2026-02-16, CAOA MOTOR SBC    01/05, 411.61
2026-01-17, MC DENTES CLINICA 02/06, 230
2024-09-27, OSSEL             18/18, 259.18
