data,lançamento,valor
2025-05-06,Google YouTubePremium,53.9
2025-05-03,TOKIO MARINE*AUTO01D12,234.81
2025-05-02,APPLE.COM/BILL,39.9
2025-05-02,Frigelar    *Frige01/08,257.37
2025-05-01,APPLE.COM/BILL,4.9
2025-04-23,ANUIDADE DIFERENC 08/12,28.25
2025-04-23,Uber UBER *TRIP HELP.U,3
2025-04-23,Uber UBER *TRIP HELP.U,6.98
2025-04-23,DESCONTO ANUIDADE 08/12,-28.25
2025-04-23,ANUIDADE DIFERENC 08/12,56.5
2025-04-23,DESCONTO ANUIDADE 08/12,-56.5
2025-04-20,PAGAMENTO EFETUADO,-1351.65
2025-04-01,MERCADOLIVRE*INTERLEV,-0.02
2025-04-01,MERCADOLIVRE*INTER02/03,163.34
2025-03-27,HTM*ComboXoPoche  02/04,89.7
2025-03-21,OTICAS NOTRE DAME 02/03,200
2025-03-21,MERCADOLIVRE*BMCOM02/02,45.77
2025-02-28,MERCADOLIVRE*WAVER03/04,67.46
2024-09-27,OSSEL             08/18,259.18
