data,lançamento,valor
2025-03-11,JE MAUA*APP GRUPO MAD,61
2025-03-07,MERCADOLIVRE*2PROD01/02,62.05
2025-03-06,Google YouTubePremium,41.9
2025-03-04,MERCADOLIVRE*AGBB 01/02,46.21
2025-03-01,APPLE.COM/BILL,4.9
2025-03-01,MERCADOLIVRE*ALLCOMER,78.9
2025-02-28,MERCADOLIVRE*WAVER01/04,67.46
2025-02-28,EBN    *Canva04441 96,35
2025-02-28,COOP,456.7
2025-02-23,APPLE.COM/BILL,59.9
2025-02-21,DESCONTO ANUIDADE 06/12,-56.5
2025-02-21,ANUIDADE DIFERENC 06/12,56.5
2025-02-21,DESCONTO ANUIDADE 06/12,-28.25
2025-02-21,ANUIDADE DIFERENC 06/12,28.25
2025-02-20,PAGAMENTO EFETUADO,-1955.16
2025-02-17,ZUL 1 cartao 19HIKA,1
2025-02-17,ZUL 1 cartao 19HDYV,1
2025-02-15,IFD*BAIAO DA GULA LTDA,47.2
2025-02-14,ZUL 3 cartoes 19B848,3
2025-02-14,Uber UBER *TRIP HELP.U,3
2025-02-14,Uber UBER *TRIP HELP.U,3
2025-02-14,Uber UBER *TRIP HELP.U,11.36
2025-02-14,Uber UBER *TRIP HELP.U,5.42
2024-09-27,OSSEL             06/18,259.18
