data,lançamento,valor
2025-06-06,Google YouTubePremium,53.9
2025-06-01,APPLE.COM/BILL,4.9
2025-05-22,CASA DO ELETRICIST01/02,58.45
2025-05-22,TOKIO MARINE*AUTO02D12,234.81
2025-05-21,ANUIDADE DIFERENC 09/12,56.5
2025-05-21,ANUIDADE DIFERENC 09/12,28.25
2025-05-21,DESCONTO ANUIDADE 09/12,-56.5
2025-05-21,DESCONTO ANUIDADE 09/12,-28.25
2025-05-20,PAGAMENTO EFETUADO,-1426.29
2025-05-18,MERCADOLIVRE*LACAS01/09,43.35
2025-05-02,Frigelar    *Frigelar,-0.07
2025-05-02,Frigelar    *Frige02/08,257.37
2025-04-01,MERCADOLIVRE*INTER03/03,163.34
2025-03-27,HTM*ComboXoPoche  03/04,89.7
2025-03-21,OTICAS NOTRE DAME 03/03,200
2025-02-28,MERCADOLIVRE*WAVER04/04,67.46
2024-09-27,OSSEL             09/18,259.18
