data,lançamento,valor
2025-10-06,Google YouTubePremium,53.9
2025-10-01,APPLE.COM/BILL,5.9
2025-09-24,TOKIO MARINE*AUTO06D12,234.81
2025-09-23,DESCONTO ANUIDADE 01/12,-28.25
2025-09-23,DESCONTO ANUIDADE 01/12,-56.5
2025-09-23,ANUIDADE DIFERENC 01/12,28.25
2025-09-23,ANUIDADE DIFERENC 01/12,56.5
2025-09-22,PAGAMENTO EFETUADO,-1241.92
2025-06-14,CAOA MOTOR SBC    04/04,367.61
2025-05-18,MERCADOLIVRE*LACAS05/09,43.35
2025-05-02,Frigelar    *Frige06/08,257.37
2024-09-27,OSSEL             13/18,259.18
