data,lançamento,valor
2026-01-10,PAGAMENTO EFETUADO,-779.5
2026-01-06,Google YouTubePremium,53.9
2026-01-01,Uber UBER *TRIP HELP.U,47.3
2026-01-01,APPLE.COM/BILL,5.9
2025-12-31,Uber UBER *TRIP HELP.U,22.85
2025-12-31,Uber UBER *TRIP HELP.U,1
2025-12-26,TOKIO MARINE*AUTO09D12,234.81
2025-12-25,Uber UBER *TRIP HELP.U,35.31
2025-12-24,Uber UBER *TRIP HELP.U,19.91
2025-12-23,ANUIDADE DIFERENC 04/12,56.5
2025-12-23,ANUIDADE DIFERENC 04/12,28.25
2025-12-23,DESCONTO ANUIDADE 04/12,-56.5
2025-12-23,DESCONTO ANUIDADE 04/12,-28.25
2025-12-23,Uber UBER *TRIP HELP.U,8.99
2025-12-22,PAGAMENTO EFETUADO,-985.88
2025-12-20,ASSINATURA SAMS,47
2025-05-18,MERCADOLIVRE*LACAS08/09,43.35
2024-09-27,OSSEL             16/18,259.18
