data,lançamento,valor
2025-08-06,Google YouTubePremium,53.9
2025-08-01,APPLE.COM/BILL,5.9
2025-07-23,TOKIO MARINE*AUTO04D12,234.81
2025-07-22,DESCONTO ANUIDADE 11/12,-28.25
2025-07-22,DESCONTO ANUIDADE 11/12,-56.5
2025-07-22,ANUIDADE DIFERENC 11/12,28.25
2025-07-22,ANUIDADE DIFERENC 11/12,56.5
2025-07-21,PAGAMENTO EFETUADO,-1370.1
2025-06-14,CAOA MOTOR SBC,-0.06
2025-06-14,CAOA MOTOR SBC    02/04,367.61
2025-05-18,MERCADOLIVRE*LACAS03/09,43.35
2025-05-02,Frigelar    *Frige04/08,257.37
2024-09-27,OSSEL             11/18,259.18
