data,lançamento,valor
2025-09-12,APPLE.COM/BILL,6.9
2025-09-06,Google YouTubePremium,53.9
2025-09-01,APPLE.COM/BILL,5.9
2025-08-22,TOKIO MARINE*AUTO05D12,234.81
2025-08-21,ANUIDADE DIFERENC 12/12,56.5
2025-08-21,ANUIDADE DIFERENC 12/12,28.25
2025-08-21,DESCONTO ANUIDADE 12/12,-56.5
2025-08-21,DESCONTO ANUIDADE 12/12,-28.25
2025-08-20,PAGAMENTO EFETUADO,-1222.06
2025-08-18,Google YouTube Videos,12.9
2025-06-14,CAOA MOTOR SBC    03/04,367.61
2025-05-18,MERCADOLIVRE*LACAS04/09,43.35
2025-05-02,Frigelar    *Frige05/08,257.37
2024-09-27,OSSEL             12/18,259.18
