data,lançamento,valor
2025-04-09,MERCADOLIVRE*GCCOMERC,37.64
2025-04-06,Google YouTubePremium,41.9
2025-04-06,MERCADOLIVRE*CASANOBR,70.2
2025-04-06,MERCADOLIVRE*BELAOYA,89.38
2025-04-02,MERCADOLIVRE*HEINKAEN,138.99
2025-04-01,APPLE.COM/BILL,4.9
2025-04-01,MERCADOLIVRE*INTER01/03,163.34
2025-03-28,EBN    *Canva04469 10,35
2025-03-27,HTM*ComboXoPoche  01/04,89.7
2025-03-21,ANUIDADE DIFERENC 07/12,28.25
2025-03-21,MERCADOLIVRE*BMCOM01/02,45.77
2025-03-21,OTICAS NOTRE DAME 01/03,200
2025-03-21,DESCONTO ANUIDADE 07/12,-56.5
2025-03-21,DESCONTO ANUIDADE 07/12,-28.25
2025-03-21,ANUIDADE DIFERENC 07/12,56.5
2025-03-20,PAGAMENTO EFETUADO,-1248.18
2025-03-07,MERCADOLIVRE*2PROD02/02,62.05
2025-03-07,MERCADOLIVRE*2PRODUTO,-0.01
2025-03-04,MERCADOLIVRE*AGBB 02/02,46.21
2025-02-28,MERCADOLIVRE*WAVEREVE,-0.06
2025-02-28,MERCADOLIVRE*WAVER02/04,67.46
2024-09-27,OSSEL             07/18,259.18
