data,lançamento,valor
2025-12-06,Google YouTubePremium,53.9
2025-12-05,LOJA TOP STORE,17
2025-12-01,APPLE.COM/BILL,5.9
2025-11-27,Uber UBER *TRIP HELP.U,11.94
2025-11-27,Uber UBER *TRIP HELP.U,21.94
2025-11-25,TOKIO MARINE*AUTO08D12,234.81
2025-11-22,ANUIDADE DIFERENC 03/12,28.25
2025-11-22,DESCONTO ANUIDADE 03/12,-28.25
2025-11-22,DESCONTO ANUIDADE 03/12,-56.5
2025-11-22,ANUIDADE DIFERENC 03/12,56.5
2025-11-21,SUPERMERCADO SCOTON,80.49
2025-11-20,PAGAMENTO EFETUADO,-954.51
2025-05-18,MERCADOLIVRE*LACAS07/09,43.35
2025-05-02,Frigelar    *Frige08/08,257.37
2024-09-27,OSSEL             15/18,259.18
