data      , lançamento             , valor
2026-03-04, MP *ACER          01/10, 1119.9
2026-02-28, MERCADOLIVRE*MERCADOL  , 60.5
2026-02-28, MERCADOLIVRE*MERCADOL  , 32.24
2026-02-28, MERCADOLIVRE*ROYALBEB  , 64.28
2026-02-27, Google One             , 9.99
2026-02-25, ITAUSHOP               , 4.9
2026-02-20, PAGAMENTO EFETUADO     , -594.88
2026-02-16, DL          *UberRides , 35.55
2026-02-16, Uber UBER *TRIP HELP.U , 38.37
2026-02-14, Uber UBER *TRIP HELP.U , 15.91
