data,lançamento,valor
2025-12-12,CHANGE.ORG BRASIL,20
2025-12-04,Uber UBER *TRIP HELP.U,11.04
2025-12-04,Uber UBER *TRIP HELP.U,6.85
2025-12-04,Uber UBER *TRIP HELP.U,9.13
2025-11-29,IOF COMPRA INTERNACIONA,1.98
2025-11-28,PAYPAL *TRAE,56.6
2025-11-27,Uber UBER *TRIP HELP.U,9.15
2025-11-27,Google One,9.99
2025-11-26,Uber UBER *TRIP HELP.U,7.94
2025-11-20,PAGAMENTO EFETUADO,-359.73
2025-11-18,Uber UBER *TRIP HELP.U,8.01
2025-11-18,Uber UBER *TRIP HELP.U,10.17
2025-11-14,Uber UBER *TRIP HELP.U,9.16
