data,lançamento,valor
2025-10-12,CHANGE.ORG BRASIL,20
2025-10-11,UBER* TRIP,12.2
2025-10-09,Uber UBER *TRIP HELP.U,7.32
2025-10-09,Uber UBER *TRIP HELP.U,26.13
2025-10-09,Uber UBER *TRIP HELP.U,26.29
2025-10-09,Uber UBER *TRIP HELP.U,6.28
2025-10-07,Uber UBER *TRIP HELP.U,36.26
2025-10-07,UBER* TRIP,28.27
2025-10-06,Uber UBER *TRIP HELP.U,7.25
2025-10-03,Uber UBER *TRIP HELP.U,29.03
2025-10-03,Uber UBER *TRIP HELP.U,27.08
2025-10-01,UBER* TRIP,9.25
2025-10-01,UBER* TRIP,6.91
2025-09-30,IOF COMPRA INTERNACIONA,1.97
2025-09-29,UBER* TRIP,9.04
2025-09-29,PAYPAL *TRAE,56.4
2025-09-29,Uber UBER *TRIP HELP.U,10.07
2025-09-27,Google One,9.99
2025-09-26,MERCADOLIVRE*ROUPAS,49.94
2025-09-25,MERCADOLIVRE*OORUN,47.38
2025-09-22,PAGAMENTO EFETUADO,-300.47
2025-09-15,UBER* TRIP,9.19
