data,lançamento,valor
2025-11-12,UBER* TRIP,7.75
2025-11-12,CHANGE.ORG BRASIL,20
2025-11-12,Uber UBER *TRIP HELP.U,8.67
2025-11-12,UBER* TRIP,12.04
2025-11-12,UBER* TRIP,9.08
2025-11-11,UBER* TRIP,12.76
2025-11-11,Uber UBER *TRIP HELP.U,11.9
2025-11-10,UBER* TRIP,10.94
2025-11-06,Uber UBER *TRIP HELP.U,10.08
2025-11-06,UBER* TRIP,9.12
2025-11-05,UBER* TRIP,7.83
2025-11-05,Uber UBER *TRIP HELP.U,8.18
2025-11-04,UBER* TRIP,11.05
2025-11-03,UBER* TRIP,8.96
2025-10-31,UBER* TRIP,10.11
2025-10-31,Uber UBER *TRIP HELP.U,8.28
2025-10-31,Uber UBER *TRIP HELP.U,6.84
2025-10-31,Uber UBER *TRIP HELP.U,9.94
2025-10-30,IOF COMPRA INTERNACIONA,1.98
2025-10-29,PAYPAL *TRAE,56.6
2025-10-29,MERCADOLIVRE*OORUN,-47.38
2025-10-28,Uber UBER *TRIP HELP.U,31.21
2025-10-27,Uber UBER *TRIP HELP.U,44.12
2025-10-27,Google One,9.99
2025-10-27,UBER* TRIP,37.52
2025-10-24,UBER* TRIP,8.15
2025-10-23,Uber UBER *TRIP HELP.U,8.03
2025-10-20,PAGAMENTO EFETUADO,-436.25
2025-10-15,UBER* TRIP,9.16
2025-10-15,UBER* TRIP,8.07
2025-10-14,UBER* TRIP,8.75
